tinyint,System.SByte,1,(sbyte):GetByte:,Number,1,Byte
smallint,System.Int16,1,:GetInt16:,Number,2,Int16
mediumint,System.Int32,1,:GetInt32:,Number,9,Int24
int,System.Int32,1,:GetInt32:,Number,3,Int32
integer,System.Int32,1,:GetInt32:,Number,3,Int32
bigint,System.Int64,1,:GetInt64:,Number,8,Int64
bit,System.UInt64,1,:GetUInt64:,Number,16,Bit
real,System.Double,1,:GetDouble:,Number,5,Double
double,System.Double,1,:GetDouble:,Number,5,Double
float,System.Single,1,:GetFloat:,Number,4,Float
decimal,System.Decimal,1,:GetDecimal:,Number,246,NewDecimal
numeric,System.Decimal,1,:GetDecimal:,Number,246,NewDecimal
char,System.String,0,:GetString:,String,254,String
varchar,System.String,0,:GetString:,String,253,VarChar
date,System.DateTime,1,:GetDateTime:,Time,10,Date
time,System.TimeSpan,1,:GetTimeSpan:,Time,11,Time
year,System.Int32,1,:GetInt32:,Time,13,Year
timestamp,System.DateTime,1,:GetDateTime:,Time,7,Timestamp
datetime,System.DateTime,1,:GetDateTime:,Time,12,DateTime
tinyblob,System.Byte[],0,(byte[]):GetValue:,Base64,252,Blob
blob,System.Byte[],0,(byte[]):GetValue:,Base64,252,Blob
mediumblob,System.Byte[],0,(byte[]):GetValue:,Base64,252,Blob
longblob,System.Byte[],0,(byte[]):GetValue:,Base64,252,Blob
tinytext,System.String,0,:GetString:,String,752,Text
text,System.String,0,:GetString:,String,752,Text
mediumtext,System.String,0,:GetString:,String,752,Text
longtext,System.String,0,:GetString:,String,752,Text
enum,System.String,0,:GetString:,String,254,String
set,System.String,0,:GetString:,String,254,String
binary,System.Byte[],0,(byte[]):GetValue:,Base64,600,Binary
varbinary,System.Byte[],0,(byte[]):GetValue:,Base64,601,VarBinary
point,System.Byte[],0,(byte[]):GetValue:,Base64,255,Geometry
linestring,System.Byte[],0,(byte[]):GetValue:,Base64,255,Geometry
polygon,System.Byte[],0,(byte[]):GetValue:,Base64,255,Geometry
geometry,System.Byte[],0,(byte[]):GetValue:,Base64,255,Geometry
multipoint,System.Byte[],0,(byte[]):GetValue:,Base64,255,Geometry
multilinestring,System.Byte[],0,(byte[]):GetValue:,Base64,255,Geometry
multipolygon,System.Byte[],0,(byte[]):GetValue:,Base64,255,Geometry
geometrycollection,System.Byte[],0,(byte[]):GetValue:,Base64,255,Geometry
