INT,System.Int32,1,:GetInt32:,Number,11,Int32
INTEGER,System.Int64,1,:GetInt64:,Number,12,Int64
LONG,System.Int64,1,:GetInt64:,Number,12,Int64
TINYINT,System.Byte,1,:GetByte:,Number,2,Byte
SMALLINT,System.Int16,1,:GetInt16:,Number,10,Int16
MEDIUMINT,System.Object,0,:GetValue:,Object,13,Object
BIGINT,System.Int64,1,:GetInt64:,Number,12,Int64
UNSIGNED,System.Object,0,:GetValue:,Object,13,Object
INT2,System.Object,0,:GetValue:,Object,13,Object
INT8,System.SByte,1,(sbyte):GetByte:,Number,14,SByte
CHARACTER,System.Object,0,:GetValue:,Object,13,Object
VARCHAR,System.String,0,:GetString:,String,0,AnsiString
VARYING CHARACTER,System.Object,0,:GetValue:,Object,13,Object
NCHAR,System.String,0,:GetString:,String,23,StringFixedLength
NATIVE CHARACTER,System.Object,0,:GetValue:,Object,13,Object
NVARCHAR,System.String,0,:GetString:,String,16,String
TEXT,System.String,0,:GetString:,String,16,String
CLOB,System.String,0,:GetString:,String,16,String
BLOB,System.Byte[],0,(byte[]):GetValue:,Base64,1,Binary
REAL,System.Double,1,:GetDouble:,Number,8,Double
DOUBLE,System.Double,1,:GetDouble:,Number,8,Double
DOUBLE PRECISION,System.Object,0,:GetValue:,Object,13,Object
FLOAT,System.Double,1,:GetDouble:,Number,8,Double
NUMERIC,System.Decimal,1,:GetDecimal:,Number,7,Decimal
DECIMAL,System.Decimal,1,:GetDecimal:,Number,7,Decimal
BOOLEAN,System.Boolean,1,:GetBoolean:,Bool,3,Boolean
DATE,System.DateTime,1,:GetDateTime:,Time,6,DateTime
DATETIME,System.DateTime,1,:GetDateTime:,Time,6,DateTime
LONG VARBINARY,System.String,0,:GetString:,String,16,String
UNSIGNED BIG INT,System.Int64,1,:GetInt64:,Number,12,Int64
